Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram_in_GB,Gpu,OpSys,Weight,Price_rupees,Memory_type,Memory_in_GB
HP,ProBook 640,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.95,89425,SSD,256
Others,Others,Notebook,15.6,1366x768,Intel,4,AMD Radeon,Others,1.9,33580,HDD,1000
Others,Others,Notebook,15.6,1366x768,Intel,8,Intel HD,Others,2.2,67434,HDD,1000
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.0,61046,HDD,500
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,1.86,26362,HDD,1000
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,1920x1080,Intel,16,Intel HD,Windows 10,1.38,159596,SSD,512
HP,Pavilion 15-BC000nv,Notebook,15.6,1920x1080,Intel,6,Nvidia GeForce,Windows 10,2.18,72909,HDD,1000
HP,ProBook 430,Notebook,13.3,1920x1080,Intel,4,Intel HD,Windows 10,1.49,65609,SSD,128
Others,Others,Notebook,15.6,1920x1080,Intel,8,Intel HD,Others,2.31,106306,SSD,256
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel,8,Intel HD,Mac OS X,0.92,116709,Flash Storage,512
MSI,GS63VR 7RF,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,1.8,191121,SSD +  1TB HDD,256
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,101196,SSD +  1TB HDD,128
HP,Envy 13-AB002nv,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.34,120724,SSD,512
Acer,Aspire A517-51G,Notebook,17.3,1920x1080,Intel,4,Nvidia GeForce,Windows 10,3.0,73456,SSD,256
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,4,Intel HD,No OS,2.2,33671,SSD,128
Asus,Pro P2540UA-AB51,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.37,68346,HDD,1000
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,1.85,71084,HDD,1000
Dell,Inspiron 7579,2 in 1 Convertible,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.191,91159,SSD,256
Others,Others,Notebook,15.6,1920x1080,Intel,8,Intel UHD,Others,2.17,82025,SSD,256
Others,Others,Notebook,15.6,1920x1080,Intel,8,Intel HD,Others,2.3,77623,HDD,1000
Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.44,86596,SSD,256
Toshiba,Portege X30-D-10J,Notebook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.05,152570,SSD,256
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.65,109044,SSD,256
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel,16,Intel HD,Windows 10,1.36,228034,SSD,512
Asus,Rog GL702VS-GC095T,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.9,193632,SSD +  1TB HDD,256
MSI,GS73VR 7RF,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.43,186962,SSD +  1TB HDD,256
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,2.2,48819,HDD,500
Acer,Chromebook C731-C78G,Netbook,11.6,1366x768,Intel,4,Intel HD,Chrome OS,1.25,27101,Flash Storage,32
Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel,4,Nvidia GeForce,Windows 10,2.2,65729,HDD,500
LG,Gram 14Z970,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,0.98,173284,SSD,512
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel,8,Intel Iris,macOS,1.37,178750,SSD,512
HP,Probook 450,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.04,73548,HDD,1000
HP,Envy 13-AB077cl,Ultrabook,13.3,3200x1800,Intel,8,Intel HD,Windows 10,1.39,104846,SSD,256
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,15.6,1920x1080,Intel,4,Intel HD,No OS,2.15,42189,HDD,1000
Dell,Latitude E7470,Ultrabook,14.0,2560x1440,Intel,8,Intel HD,Windows 10,1.5,179122,SSD,256
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.0,44621,HDD,500
Fujitsu,LifeBook A556,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.3,59221,SSD,256
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,3200x1800,Intel,16,Intel HD,Windows 10,1.3,136784,SSD,512
Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.2,33671,HDD,500
Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.9,95721,SSD +  1TB HDD,128
Others,Others,Notebook,15.6,1920x1080,Intel,6,AMD Radeon,Others,2.04,49184,HDD,1000
HP,Probook 430,Notebook,13.3,1366x768,Intel,4,Intel HD,Windows 10,1.49,73000,HDD,500
Others,Others,Notebook,15.6,1366x768,Intel,8,Intel HD,Others,2.04,35496,HDD,2000
Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.4,92162,SSD,256
Vero,V131 (X5-Z8350/4GB/32GB/FHD/W10),Notebook,13.3,1920x1080,Intel,4,Intel HD,Windows 10,1.35,17885,Flash Storage,32
HP,ProBook 440,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.64,92209,SSD,256
Others,Others,Ultrabook,13.3,3200x1800,Intel,16,Intel HD,Others,1.2,205678,SSD,1000
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,16,AMD Radeon,Windows 10,2.3,78385,HDD,1000
HP,ProBook 450,Notebook,15.6,1366x768,Intel,8,Intel UHD,Windows 10,2.1,82308,HDD,1000
HP,ProBook 450,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.07,59312,HDD,500
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,4,Nvidia GeForce,Windows 10,2.4,91159,HDD,1000
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel,16,AMD Radeon,macOS,1.83,260792,SSD,512
Others,Others,Ultrabook,12.5,1920x1080,Intel,8,Intel HD,Others,1.36,160600,SSD,256
MSI,GE62 Apache,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.4,112146,SSD +  1TB HDD,128
Toshiba,Tecra A50-C-1ZV,Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.2,102109,SSD,256
HP,Omen 17-an006nv,Gaming,17.3,1920x1080,Intel,12,Nvidia GeForce,Windows 10,3.78,155034,HDD,1000
MSI,GP62 7RDX,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.4,118078,SSD +  1TB HDD,256
MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.7,128571,SSD +  1TB HDD,128
Lenovo,ThinkPad Yoga,2 in 1 Convertible,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.8,152296,SSD,256
HP,EliteBook 850,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 7,1.88,85045,HDD,500
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel,16,Intel UHD,Windows 10,1.2,170546,SSD,512
Others,Others,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,Others,2.5,95356,SSD,256
HP,EliteBook 1040,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 7,1.43,134046,SSD,256
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.29,136784,SSD,256
HP,255 G6,Notebook,15.6,1920x1080,AMD,4,AMD Radeon,Windows 10,1.86,36362,SSD,256
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,No OS,2.5,92801,HDD,1000
Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Intel,8,Intel HD,Chrome OS,1.1,116344,SSD,128
Lenovo,IdeaPad 310-15IKB,Notebook,15.6,1920x1080,Intel,6,Nvidia GeForce,Windows 10,2.4,63419,SSD,256
Dell,Latitude E5270,Ultrabook,12.5,1366x768,Intel,4,Intel HD,Windows 7,1.5,106486,SSD,128
Acer,Aspire ES1-531,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.4,26371,HDD,500
HP,Pavilion x360,2 in 1 Convertible,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.3,62488,HDD,500
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,1920x1080,Intel,6,Intel HD,Windows 10,2.2,52834,SSD,256
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD,16,AMD Radeon,Windows 10,3.25,200659,SSD +  1TB HDD,256
Others,Others,2 in 1 Convertible,15.6,1920x1080,Intel,8,Intel UHD,Others,1.56,95721,SSD,256
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.18,64610,HDD,1000
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.37,127659,SSD,256
Toshiba,Portege Z30-C-1CW,Notebook,13.3,1920x1080,Intel,8,Intel HD,Windows 7,1.2,133225,SSD,256
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.58,135050,SSD,256
Asus,Rog G752VS-BA171T,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,4.3,214438,SSD +  1TB HDD,256
Lenovo,Thinkpad X270,Ultrabook,12.5,1920x1080,Intel,16,Intel HD,Windows 10,1.36,164068,SSD,512
Acer,Swift 7,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.12,90246,SSD,256
Others,Others,Workstation,15.6,1920x1080,Intel,8,Nvidia Quadro,Others,2.06,160874,SSD,256
MSI,GS60 Ghost,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,1.91,196495,SSD +  1TB HDD,128
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.24,122184,SSD +  1TB HDD,128
MSI,GP72VR Leopard,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.7,135668,SSD +  1TB HDD,128
Others,Others,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,Others,2.5,92892,HDD,1000
Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.2,67434,HDD,1000
HP,ProBook 470,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.63,109500,SSD,256
Dell,Precision M5520,Workstation,15.6,3840x2160,Intel,8,Nvidia Quadro,Windows 10,1.78,247470,SSD,256
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,No OS,2.2,45534,HDD,1000
Acer,Aspire A517-51G,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,3.0,86779,SSD,256
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.18,76285,HDD,1000
HP,ZBook 15,Workstation,15.6,1920x1080,Intel,8,Nvidia Quadro,Windows 7,2.59,142441,SSD,256
HP,Elitebook 1040,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.36,159688,SSD,256
HP,ZBook 15,Workstation,15.6,1920x1080,Intel,16,Nvidia Quadro,Windows 10,2.6,220734,SSD,256
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.2,27922,HDD,1000
HP,Elitebook Folio,Ultrabook,12.5,3840x2160,Intel,8,Intel HD,Windows 10,1.09,282875,SSD,240
Acer,Spin SP111-31,2 in 1 Convertible,11.6,1920x1080,Intel,4,Intel HD,Windows 10,1.25,31846,Flash Storage,32
Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,Intel,12,Nvidia GeForce,Windows 10,2.26,100284,SSD +  2TB HDD,512
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.04,89334,SSD,256
HP,EliteBook 840,Ultrabook,14.0,2560x1440,Intel,8,Intel HD,Windows 7,1.54,200585,SSD,256
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,1.85,40971,HDD,1000
Others,Others,2 in 1 Convertible,13.3,1920x1080,Intel,4,Intel HD,Others,1.71,59221,HDD,1000
Others,Others,Workstation,15.6,1920x1080,Intel,8,AMD FirePro,Others,2.23,124921,HDD,500
HP,Spectre Pro,Notebook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.16,154212,SSD,256
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1366x768,AMD,8,AMD Radeon,Windows 10,1.91,40688,SSD,128
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,1920x1080,Intel,4,Intel HD,No OS,2.1,31846,HDD,500
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.0,155034,SSD,512
Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14.0,1920x1080,Intel,4,Intel HD,Windows 10,1.8,58218,SSD,128
Dell,Latitude 5580,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,1.93,79296,HDD,500
Others,Others,Ultrabook,12.5,3840x2160,Intel,16,Intel HD,Others,1.29,164159,SSD,512
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.4,109409,SSD,512
Asus,ROG Strix,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.3,151019,SSD +  1TB HDD,128
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,16,AMD Radeon,Linux,2.36,82034,SSD,256
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD,4,AMD Radeon,Windows 10,2.2,36409,SSD,256
Others,Others,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,1.98,87691,HDD,1000
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Notebook,15.6,1366x768,Intel,8,AMD Radeon,Windows 10,1.91,56483,SSD,256
Others,Others,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.2,108752,SSD +  1TB HDD,128
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,91159,SSD +  1TB HDD,128
Acer,Aspire ES1-531,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.4,26371,HDD,500
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Windows 10,2.0,67434,SSD,256
Lenovo,ThinkPad X270,Ultrabook,12.5,1920x1080,Intel,8,Intel HD,Windows 10,1.36,160600,SSD,256
Others,Others,Notebook,15.6,1366x768,AMD,8,AMD Radeon,Others,2.04,57396,HDD,2000
HP,Pavilion 15-AW003nv,Notebook,15.6,1920x1080,AMD,6,AMD Radeon,Windows 10,2.04,50187,Hybrid,1000
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel,4,Intel HD,Windows 10 S,1.252,99371,SSD,128
Others,Others,Ultrabook,12.5,1920x1080,Intel,8,Intel HD,Others,1.36,144540,SSD,256
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel,16,Intel HD,Windows 10,1.2,205678,SSD,1000
Lenovo,ThinkPad X1,Ultrabook,14.0,2560x1440,Intel,8,Intel HD,Windows 10,1.17,153906,SSD,512
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.04,67708,HDD,500
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel,2,Intel HD,Windows 10,0.98,17511,Flash Storage,32
Asus,Rog G752VL-GC088D,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,No OS,4.0,91068,HDD,1000
Others,Others,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Others,1.43,132221,SSD,256
Lenovo,B51-80 (i5-6200U/8GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,No OS,2.32,54659,HDD,1000
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.5,76559,SSD +  1TB HDD,128
Lenovo,V110-15ISK (i5-6200U/4GB/500GB/No,Notebook,15.6,1366x768,Intel,4,Intel HD,No OS,2.1,36318,HDD,500
Others,Others,Notebook,15.6,1920x1080,Intel,4,Nvidia GeForce,Others,2.23,49640,HDD,1000
Lenovo,Thinkpad T470p,Ultrabook,14.0,2560x1440,Intel,8,Nvidia GeForce,Windows 10,1.7,177299,SSD,512
HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel,8,Intel HD,Windows 10,2.65,49654,HDD,1000
Asus,Zenbook 3,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.1,170911,SSD,512
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel,16,AMD Radeon,Windows 10,2.8,127385,SSD +  2TB HDD,256
Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.43,25002,Flash Storage,32
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,4,AMD Radeon,Windows 10,2.1,36044,HDD,1000
HP,EliteBook 840,Notebook,14.0,1920x1080,Intel,4,Intel HD,Windows 7,1.54,100374,SSD,256
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.2,35906,HDD,500
Dell,Chromebook 11,Netbook,11.6,1366x768,Intel,4,Intel HD,Chrome OS,1.26,26919,Flash Storage,16
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel,8,Intel HD,Windows 10,1.13,208232,SSD,512
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.04,35496,HDD,2000
MSI,GT62VR 6RD,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.94,165984,SSD +  1TB HDD,256
Lenovo,IdeaPad Y700-15ACZ,Gaming,15.6,1920x1080,AMD,16,AMD Radeon,Windows 10,2.5,91159,SSD +  1TB HDD,512
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel,2,Intel HD,Windows 10,2.2,34584,HDD,500
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel,8,Intel HD,Linux,1.23,100284,SSD,256
MSI,GL72M 7REX,Gaming,17.3,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.7,123049,SSD +  1TB HDD,128
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.2,82034,HDD,1000
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,8,Intel HD,macOS,1.34,105731,Flash Storage,256
Acer,Aspire ES1-531,Notebook,15.6,1366x768,Intel,4,Intel HD,Linux,2.4,26371,HDD,500
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.18,92153,SSD,256
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel,4,Nvidia GeForce,Windows 10,2.2,72909,HDD,1000
Acer,Predator G9-793,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,4.2,237159,SSD +  1TB HDD,256
Others,Others,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Others,2.0,166896,SSD,256
Lenovo,ThinkPad E570,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.3,51556,SSD,128
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,AMD,12,AMD Radeon,Windows 10,2.2,82034,HDD,2000
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Linux,2.2,59039,HDD,1000
Lenovo,IdeaPad Y700-15ISK,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.6,82034,HDD,1000
Others,Others,Notebook,15.6,1920x1080,Intel,8,Intel HD,Others,2.3,75738,SSD,256
Others,Others,Notebook,15.6,1366x768,Intel,4,Intel HD,Others,2.4,34675,HDD,500
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD,8,AMD Radeon,Windows 10,3.2,118534,SSD +  1TB HDD,256
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.2,27922,HDD,1000
HP,250 G6,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,1.86,58309,HDD,1000
Dell,Inspiron 7773,Notebook,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,2.77,141346,SSD,512
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,1920x1080,Intel,6,AMD Radeon,Windows 10,2.71,63784,HDD,2000
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel,8,Intel UHD,Windows 10,1.2,127659,SSD,256
Dell,Inspiron 7378,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.6,109409,SSD,256
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,4,Intel HD,Windows 10,2.25,51009,HDD,1000
Acer,Chromebook CB5-571-C1DZ,Notebook,15.6,1920x1080,Intel,4,Intel HD,Chrome OS,2.2,32759,Flash Storage,16
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.18,72544,SSD,256
Dell,Vostro 5471,Ultrabook,14.0,1920x1080,Intel,8,Intel UHD,Windows 10,1.7,80209,SSD,256
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,8,AMD Radeon,Windows 10,2.36,81121,SSD,256
Samsung,Chromebook Plus,2 in 1 Convertible,12.3,2400x1600,Samsung,4,ARM Mali,Chrome OS,1.15,60134,Flash Storage,32
Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.0,53098,SSD,128
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,3.0,137240,SSD +  1TB HDD,256
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1920x1080,Intel,8,Nvidia GeForce,No OS,2.8,77471,HDD,2000
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,12,Intel HD,Windows 10,2.15,60134,HDD,1000
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel UHD,Windows 10,1.62,76559,HDD,1000
Lenovo,Thinkpad X270,Ultrabook,12.5,1920x1080,Intel,8,Intel HD,Windows 10,1.36,150562,SSD,256
Dell,Latitude 5580,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,1.9,125651,SSD,256
HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel,6,AMD Radeon,Windows 10,2.19,69715,HDD,1000
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,8,Intel HD,Windows 10,2.18,65152,SSD,128
Lenovo,Thinkpad E570,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.3,75738,SSD,256
HP,ProBook 470,Notebook,17.3,1920x1080,Intel,8,Intel UHD,Windows 10,2.5,84680,SSD,256
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,No OS,2.4,73821,SSD +  1TB HDD,128
HP,Pavilion Power,Notebook,15.6,1920x1080,Intel,12,Nvidia GeForce,Windows 10,2.21,121089,SSD +  1TB HDD,128
HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,Intel,4,Intel HD,Windows 10,1.28,155125,SSD,256
Acer,E5 774G,Notebook,17.3,1600x900,Intel,4,Nvidia GeForce,Windows 10,3.3,54568,HDD,1000
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,1920x1080,AMD,6,AMD Radeon,Windows 10,2.65,51921,HDD,2000
Others,Others,Ultrabook,13.3,1440x900,Intel,8,Intel HD,Others,1.34,105731,Flash Storage,256
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,2.6,116070,SSD +  1TB HDD,128
Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,1920x1080,Intel,8,Intel HD,Windows 10,1.2,66521,SSD,512
Toshiba,Tecra Z50-C-144,Notebook,15.6,1920x1080,Intel,8,Intel HD,Windows 10,2.2,127659,SSD,256
Lenovo,Flex 5,2 in 1 Convertible,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.7,91159,SSD,256
MSI,GT72VR Dominator,Gaming,17.3,1920x1080,Intel,16,Nvidia GeForce,Windows 10,3.78,228034,SSD +  1TB HDD,256
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,AMD,4,AMD Radeon,Windows 10 S,1.65,25367,SSD,64
Toshiba,Satellite Pro,Notebook,14.0,1366x768,Intel,4,Intel HD,Windows 10,1.75,45534,SSD,128
Lenovo,ThinkPad T470,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.65,122731,SSD,256
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,2.0,86231,SSD,256
Others,Others,Notebook,15.6,1920x1080,AMD,4,AMD R4,Others,2.2,36409,SSD,128
HP,ProBook 430,Notebook,13.3,1920x1080,Intel,4,Intel UHD,Windows 10,1.49,68802,HDD,500
Others,Others,Notebook,15.6,1366x768,Intel,8,AMD Radeon,Others,2.3,73547,HDD,1000
Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel,8,Nvidia GeForce,Windows 10,1.7,102018,SSD,256
Toshiba,Tecra Z40-C-136,Ultrabook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.47,157406,SSD,256
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.1,31664,HDD,500
Others,Others,Gaming,17.3,3840x2160,Intel,16,Nvidia GeForce,Others,4.36,287802,SSD +  1TB HDD,512
Lenovo,ThinkPad T470s,Notebook,14.0,1920x1080,Intel,8,Intel HD,Windows 10,1.32,150562,SSD,256
Others,Others,Gaming,15.6,1920x1080,Intel,16,Nvidia GeForce,Others,2.94,206942,SSD +  1TB HDD,256
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,4,AMD Radeon,Windows 10,2.1,38872,SSD,128
Lenovo,IdeaPad 310-15ISK,Notebook,15.6,1366x768,Intel,8,Nvidia GeForce,No OS,2.2,57396,HDD,500
HP,EliteBook 820,Ultrabook,12.5,1920x1080,Intel,8,Intel HD,Windows 7,1.26,109409,SSD,256
Others,Others,2 in 1 Convertible,13.3,1920x1080,Intel,8,Intel HD,Others,1.68,81121,SSD,256
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,4,Intel HD,Windows 10,2.0,27740,HDD,500
